Date,Close_META,Volume_META
2017-05-03,151.4886932373047,29782500.0
2017-05-04,150.5406494140625,36225500.0
2017-05-05,149.93191528320312,17148500.0
2017-05-08,150.75022888183594,15827500.0
2017-05-09,150.17140197753906,17453900.0
2017-05-10,149.98179626464844,12080700.0
2017-05-11,149.7322998046875,11841900.0
2017-05-12,150.02171325683594,9598200.0
2017-05-15,149.8820037841797,15064700.0
2017-05-16,149.47283935546875,14550800.0
2017-05-17,144.55296325683594,28300100.0
2017-05-18,147.35720825195312,23031600.0
2017-05-19,147.75637817382812,16187900.0
2017-05-22,147.93600463867188,12586700.0
2017-05-23,147.766357421875,12817800.0
2017-05-24,149.7322998046875,17862400.0
2017-05-25,151.64837646484375,19891400.0
2017-05-26,151.81802368164062,14996200.0
2017-05-30,152.06752014160156,13226000.0
2017-05-31,151.1494140625,18023900.0
2017-06-01,151.21925354003906,14530600.0
2017-06-02,153.2949981689453,16854400.0
2017-06-05,153.31494140625,12520400.0
2017-06-06,152.4966278076172,13457100.0
2017-06-07,152.80599975585938,12066700.0
2017-06-08,154.39273071289062,17799400.0
2017-06-09,149.293212890625,35577700.0
2017-06-12,148.13558959960938,33170200.0
2017-06-13,150.37098693847656,20483400.0
2017-06-14,149.94187927246094,20808800.0
2017-06-15,149.4927978515625,18994200.0
2017-06-16,150.33108520507812,22882400.0
2017-06-19,152.55650329589844,19026500.0
2017-06-20,151.93777465820312,14743900.0
2017-06-21,153.59437561035156,15039800.0
2017-06-22,153.0854034423828,13005500.0
2017-06-23,154.7519989013672,18027000.0
2017-06-26,153.2750244140625,18049700.0
2017-06-27,150.27120971679688,19360800.0
2017-06-28,152.92575073242188,16719100.0
2017-06-29,150.73025512695312,23973500.0
2017-06-30,150.67037963867188,17666000.0
2017-07-03,148.12559509277344,13862700.0
2017-07-05,150.0316925048828,14334300.0
2017-07-06,148.5148162841797,14951800.0
2017-07-07,151.1294403076172,13615900.0
2017-07-10,153.18521118164062,13378700.0
2017-07-11,154.9515838623047,13667700.0
2017-07-12,158.5741424560547,22739400.0
2017-07-13,158.9333953857422,13929200.0
2017-07-14,159.64193725585938,16371200.0
2017-07-17,159.40243530273438,12858800.0
2017-07-18,162.52601623535156,23722900.0
2017-07-19,163.8033905029297,26273600.0
2017-07-20,164.19259643554688,18523100.0
2017-07-21,164.09278869628906,14744000.0
2017-07-24,165.65957641601562,17367000.0
2017-07-25,164.94105529785156,15383200.0
2017-07-26,165.2703857421875,35236900.0
2017-07-27,170.09048461914062,68910700.0
2017-07-28,172.09634399414062,24557600.0
2017-07-31,168.9029083251953,25478900.0
2017-08-01,169.51165771484375,14385000.0
2017-08-02,168.95281982421875,17433800.0
2017-08-03,168.2442626953125,10793800.0
2017-08-04,169.27215576171875,10777700.0
2017-08-07,171.6273193359375,12787800.0
2017-08-08,170.87884521484375,14393500.0
2017-08-09,170.82894897460938,10815000.0
2017-08-10,167.05670166015625,20832700.0
2017-08-11,167.73532104492188,13791200.0
2017-08-14,170.39984130859375,12954200.0
2017-08-15,170.64932250976562,8729200.0
2017-08-16,169.6513671875,15779900.0
2017-08-17,166.56771850585938,17216000.0
2017-08-18,167.0666961669922,15093600.0
2017-08-21,167.43592834472656,11907500.0
2017-08-22,169.2921142578125,11391000.0
2017-08-23,168.36402893066406,9856500.0
2017-08-24,167.39601135253906,14030400.0
2017-08-25,165.97894287109375,12614500.0
2017-08-28,166.8970489501953,8553700.0
2017-08-29,167.70538330078125,11121000.0
2017-08-30,169.57154846191406,11138300.0
2017-08-31,171.61734008789062,17226500.0
2017-09-01,171.667236328125,11677600.0
2017-09-05,170.36990356445312,13210900.0
2017-09-06,171.73707580566406,13906300.0
2017-09-07,172.8548126220703,18049500.0
2017-09-08,170.59942626953125,10998500.0
2017-09-11,173.1541748046875,12372000.0
2017-09-12,172.60531616210938,11186300.0
2017-09-13,172.69512939453125,9119300.0
2017-09-14,170.6094207763672,15615700.0
2017-09-15,171.28802490234375,15660500.0
2017-09-18,169.66136169433594,12954000.0
2017-09-19,172.1662139892578,13168600.0
2017-09-20,171.81692504882812,12264100.0
2017-09-21,170.75909423828125,11161400.0
2017-09-22,170.1902618408203,12097100.0
2017-09-25,162.53599548339844,41251600.0
2017-09-26,163.87326049804688,23363300.0
2017-09-27,167.33612060546875,19242500.0
2017-09-28,168.38397216796875,12178700.0
2017-09-29,170.51959228515625,15340400.0
2017-10-02,169.12246704101562,13392300.0
2017-10-03,169.61146545410156,8190300.0
2017-10-04,168.07461547851562,12127900.0
2017-10-05,170.8888397216797,14580600.0
2017-10-06,171.87680053710938,13124500.0
2017-10-09,172.14625549316406,14570400.0
2017-10-10,171.2381134033203,11341100.0
2017-10-11,172.38575744628906,11283700.0
2017-10-12,172.19615173339844,10351000.0
2017-10-13,173.3837127685547,13658300.0
2017-10-16,174.16212463378906,11498800.0
2017-10-17,175.74884033203125,15990100.0
2017-10-18,175.66900634765625,12752400.0
2017-10-19,174.2020263671875,14048400.0
2017-10-20,174.6211700439453,12602200.0
2017-10-23,170.9187774658203,13852700.0
2017-10-24,171.4476776123047,12267900.0
2017-10-25,170.25015258789062,15868200.0
2017-10-26,170.28009033203125,11833100.0
2017-10-27,177.51522827148438,30285300.0
2017-10-30,179.50112915039062,24353200.0
2017-10-31,179.69073486328125,20174200.0
2017-11-01,182.28541564941406,40918300.0
2017-11-02,178.55308532714844,35529900.0
2017-11-03,178.55308532714844,17822100.0
2017-11-06,179.80052185058594,13312700.0
2017-11-07,179.88035583496094,12928200.0
2017-11-08,179.1917724609375,10494100.0
2017-11-09,178.93231201171875,12610300.0
2017-11-10,178.09402465820312,11070200.0
2017-11-13,178.4033966064453,9523400.0
2017-11-14,177.704833984375,9585900.0
2017-11-15,177.5850830078125,10253700.0
2017-11-16,179.22171020507812,15607600.0
2017-11-17,178.63291931152344,13018000.0
2017-11-20,178.3734588623047,10052400.0
2017-11-21,181.48704528808594,14504000.0
2017-11-22,180.49908447265625,10376300.0
2017-11-24,182.40518188476562,9426300.0
2017-11-27,182.65464782714844,12344500.0
2017-11-28,182.04591369628906,14379700.0
2017-11-29,174.77085876464844,41933500.0
2017-11-30,176.816650390625,25307600.0
2017-12-01,174.7409210205078,20182500.0
2017-12-04,171.1183624267578,24459400.0
2017-12-05,172.47557067871094,20184900.0
2017-12-06,175.69894409179688,20255800.0
2017-12-07,179.7705841064453,20404500.0
2017-12-08,178.63291931152344,19883800.0
2017-12-11,178.67283630371094,13168600.0
2017-12-12,176.59710693359375,16854100.0
2017-12-13,177.93435668945312,14615700.0
2017-12-14,178.024169921875,13591000.0
2017-12-15,179.8105010986328,28463100.0
2017-12-18,180.44920349121094,17265400.0
2017-12-19,179.14186096191406,14920600.0
2017-12-20,177.5251922607422,11860500.0
2017-12-21,177.08609008789062,11600700.0
2017-12-22,176.83660888671875,8509500.0
2017-12-26,175.6291046142578,8897300.0
2017-12-27,177.25575256347656,9496100.0
2017-12-28,177.55514526367188,12220800.0
2017-12-29,176.09812927246094,10261500.0
2018-01-02,181.04795837402344,18151900.0
2018-01-03,184.29129028320312,16886600.0
2018-01-04,183.95199584960938,13880900.0
2018-01-05,186.46682739257812,13574500.0
2018-01-08,187.89389038085938,17994700.0
2018-01-09,187.48472595214844,12393100.0
2018-01-10,187.4547882080078,10529900.0
2018-01-11,187.3849334716797,9588600.0
2018-01-12,179.0021514892578,77551300.0
2018-01-16,178.024169921875,36183800.0
2018-01-17,177.2357940673828,27992400.0
2018-01-18,179.4312744140625,23304900.0
2018-01-19,180.918212890625,26826500.0
2018-01-22,184.98985290527344,21059500.0
2018-01-23,188.9617156982422,25678800.0
2018-01-24,186.16744995117188,24334500.0
2018-01-25,187.09552001953125,17377700.0
2018-01-26,189.61036682128906,17759200.0
2018-01-29,185.59860229492188,20453200.0
2018-01-30,186.7362518310547,20858600.0
2018-01-31,186.50672912597656,43275100.0
2018-02-01,192.6940155029297,54211300.0
2018-02-02,189.88978576660156,26677500.0
2018-02-05,180.88827514648438,33128200.0
2018-02-06,184.9299774169922,37758500.0
2018-02-07,179.8105010986328,27601900.0
2018-02-08,171.2281494140625,38478300.0
2018-02-09,175.74884033203125,39887600.0
2018-02-12,176.04824829101562,32092100.0
2018-02-13,172.794921875,21809400.0
2018-02-14,179.15185546875,28929700.0
2018-02-15,179.59095764160156,20922100.0
2018-02-16,176.9962921142578,20645300.0
2018-02-20,175.6490478515625,21204900.0
2018-02-21,177.54515075683594,23200800.0
2018-02-22,178.62295532226562,18464200.0
2018-02-23,182.9141082763672,19007300.0
2018-02-26,184.55075073242188,17599700.0
2018-02-27,181.08787536621094,15849800.0
2018-02-28,177.95433044433594,18783000.0
2018-03-01,175.57919311523438,23201600.0
2018-03-02,176.25779724121094,20025900.0
2018-03-05,180.03004455566406,16189300.0
2018-03-06,179.4113311767578,15086800.0
2018-03-07,183.33326721191406,19097300.0
2018-03-08,181.966064453125,17225900.0
2018-03-09,184.8501434326172,18526300.0
2018-03-12,184.381103515625,15301200.0
2018-03-13,181.50701904296875,18067500.0
2018-03-14,183.81228637695312,16821700.0
2018-03-15,183.4829559326172,15614300.0
2018-03-16,184.71041870117188,24403400.0
2018-03-19,172.2061309814453,88140100.0
2018-03-20,167.80517578125,129851800.0
2018-03-21,169.04263305664062,106598800.0
2018-03-22,164.55186462402344,73743000.0
2018-03-23,159.06314086914062,53609700.0
2018-03-26,159.73175048828125,126116600.0
2018-03-27,151.9078369140625,79117000.0
2018-03-28,152.71617126464844,60029200.0
2018-03-29,159.46231079101562,59434300.0
2018-04-02,155.0713348388672,36796000.0
2018-04-03,155.78985595703125,42543900.0
2018-04-04,154.7819366455078,49885600.0
2018-04-05,159.0132293701172,41449600.0
2018-04-06,156.87762451171875,41644800.0
2018-04-09,157.6061248779297,34915200.0
2018-04-10,164.70155334472656,57889300.0
2018-04-11,165.97894287109375,56144600.0
2018-04-12,163.53395080566406,38263000.0
2018-04-13,164.18263244628906,19990600.0
2018-04-16,164.49197387695312,18119400.0
2018-04-17,168.31411743164062,22743000.0
2018-04-18,166.0188446044922,20969600.0
2018-04-19,167.75527954101562,22235000.0
2018-04-20,165.93899536132812,19119400.0
2018-04-23,165.49990844726562,23088100.0
2018-04-24,159.36253356933594,35079900.0
2018-04-25,159.36253356933594,41083600.0
2018-04-26,173.8028564453125,77556900.0
2018-04-27,173.2340087890625,29804700.0
2018-04-30,171.64727783203125,20750500.0
2018-05-01,173.5034637451172,26025900.0
2018-05-02,175.7089385986328,30424500.0
2018-05-03,173.6631317138672,24026100.0
2018-05-04,176.24783325195312,17677800.0
2018-05-07,177.6050262451172,18697200.0
2018-05-08,178.55308532714844,15577200.0
2018-05-09,182.28541564941406,23282800.0
2018-05-10,185.1495361328125,21071400.0
2018-05-11,186.60653686523438,21207800.0
2018-05-14,186.25726318359375,15646700.0
2018-05-15,183.9420166015625,15429400.0
2018-05-16,182.8242950439453,16975500.0
2018-05-17,183.38316345214844,14840700.0
2018-05-18,182.30535888671875,13130500.0
2018-05-21,184.11166381835938,13532900.0
2018-05-22,183.42308044433594,12731400.0
2018-05-23,186.5167236328125,16628100.0
2018-05-24,185.5487060546875,12354700.0
2018-05-25,184.540771484375,10965100.0
2018-05-29,185.35910034179688,16398900.0
2018-05-30,187.28514099121094,13736900.0
2018-05-31,191.38671875,30782600.0
2018-06-01,193.59219360351562,17307200.0
2018-06-04,192.88363647460938,18939800.0
2018-06-05,192.54432678222656,15544300.0
2018-06-06,190.94761657714844,22558900.0
2018-06-07,187.79409790039062,21503200.0
2018-06-08,188.71221923828125,12677100.0
2018-06-11,191.14720153808594,12928900.0
2018-06-12,192.00543212890625,11562700.0
2018-06-13,192.0154266357422,15853800.0
2018-06-14,196.40640258789062,19120900.0
2018-06-15,195.44837951660156,21860900.0
2018-06-18,197.9033203125,16826000.0
2018-06-19,197.0850067138672,19994000.0
2018-06-20,201.58575439453125,28230900.0
2018-06-21,201.0867919921875,19045700.0
2018-06-22,201.3262939453125,17420200.0
2018-06-25,195.9473419189453,25275100.0
2018-06-26,198.59190368652344,17897600.0
2018-06-27,195.43838500976562,18734400.0
2018-06-28,195.82757568359375,18172400.0
2018-06-29,193.9215087890625,15811600.0
2018-07-02,196.9552764892578,13961600.0
2018-07-03,192.3347625732422,13489500.0
2018-07-05,198.04302978515625,19684200.0
2018-07-06,202.81321716308594,19740100.0
2018-07-09,204.3201446533203,18149400.0
2018-07-10,203.12258911132812,13190100.0
2018-07-11,202.1246337890625,12927400.0
2018-07-12,206.4956512451172,15454700.0
2018-07-13,206.8948516845703,11486800.0
2018-07-16,206.80502319335938,11078200.0
2018-07-17,209.5593719482422,15349900.0
2018-07-18,208.9306640625,15334900.0
